ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.575967,,,,,,,,,,,,,,,f9b2531d-48cf-43e0-813c-06c6e51a68c5,18,,,"[46.2, 57.8]",3754041,0,,,,,-0.9197196,,Left Foot,,,"[51.0, 51.5]",,Ground Pass,,7.920227,,,,Santiago Cazorla González,11386.0,,,,,,Recovery,1,From Kick Off,Héctor Bellerín Moruno,3511.0,Right Back,2,Arsenal,1,['6cf72cba-a5d8-4951-9379-e935c1330d81'],8,,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:08.418,Pass,
,,,,,,,,,,,,,,,2.447076,,,,,,,,,,,,,,,d1d8d5d7-5e29-4396-ae93-d0d6f3f53767,21,,,"[51.6, 48.7]",3754041,0,,,,,-1.5849798,,Right Foot,,,"[51.0, 6.4]",,Ground Pass,,42.304256,,,,Ignacio Monreal Eraso,3498.0,,,True,,,,1,From Kick Off,Santiago Cazorla González,11386.0,Right Defensive Midfield,2,Arsenal,1,['19b34c86-95f3-461f-b985-7363707e33b5'],10,,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:10.874,Pass,
,,,,,,,,,,,,,,,1.350205,,,,,,,,,,,,,,,8e62faf7-8a93-4c8f-b7cd-c284119b837d,24,,,"[53.4, 6.0]",3754041,0,,,,,1.494919,,Left Foot,,,"[54.7, 23.1]",,Ground Pass,,17.149343,,,,Francis Joseph Coquelin,3437.0,,,,,,,1,From Kick Off,Ignacio Monreal Eraso,3498.0,Left Back,2,Arsenal,1,['6b8bbc3d-e498-4954-8cf6-b3466b8ed64f'],16,,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:16.059,Pass,
,,,,,,,,,,,,,,,1.549653,,,,,,,,,,,,,,,9b4f98f3-57e3-4003-aef3-e89a5835ef0e,27,,,"[54.7, 23.1]",3754041,0,,,,,1.7037461,,Right Foot,,,"[50.3, 56.0]",,Ground Pass,,33.19292,,,,Gabriel Armando de Abreu,6746.0,,,,,,,1,From Kick Off,Francis Joseph Coquelin,3437.0,Left Defensive Midfield,2,Arsenal,1,['99c5a237-fe44-4dce-a778-a395abd31853'],18,,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:18.742,Pass,
,,,,,,,,,,,,,,,1.430004,,,,,,,,,,,,,,,7e0b5660-4440-4cce-9e6d-7ed70a7a0f88,30,,,"[53.2, 57.5]",3754041,0,,,,,0.79861325,,Right Foot,,,"[64.4, 69.0]",,Ground Pass,,16.052725,,,,Héctor Bellerín Moruno,3511.0,,,,,,,1,From Kick Off,Gabriel Armando de Abreu,6746.0,Right Center Back,2,Arsenal,1,['c22028da-1567-432c-8caf-96a21b2e7a89'],21,,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:21.609,Pass,
,,,,,,,,,,,,,,,0.881312,,,,,,,,,,,,,,,41775623-3172-43ba-bd00-ba61793668b4,33,,,"[64.4, 69.0]",3754041,0,,,,,-1.673878,,Right Foot,,,"[63.8, 63.2]",,Ground Pass,,5.8309517,,,,Santiago Cazorla González,11386.0,,,,,,,1,From Kick Off,Héctor Bellerín Moruno,3511.0,Right Back,2,Arsenal,1,['c2b39212-cf3f-4ba6-95e6-48e2dadbc480'],23,,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:23.835,Pass,
,,,,,,,,,,,,,,,0.585239,,,,,,,,,,,,,,,87e0bee2-7f5f-4f24-b3df-c62257e589f4,36,,,"[63.8, 63.2]",3754041,0,,,,,1.4241298,,Right Foot,,,"[65.1, 72.0]",,Ground Pass,,8.895505,,,,Héctor Bellerín Moruno,3511.0,,,,,,,1,From Kick Off,Santiago Cazorla González,11386.0,Right Defensive Midfield,2,Arsenal,1,['dd06811b-a9be-405e-8f6c-048a3b84ce4b'],24,,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:24.834,Pass,
,,,,,,,,,,,,,,,1.862995,,,,,,,,,,,,,,,6550366c-51a3-499c-b961-08c62ff4e637,39,,,"[65.1, 72.0]",3754041,0,,,,,-2.9441972,,Right Foot,,,"[47.1, 68.4]",,Ground Pass,,18.35647,,,,Gabriel Armando de Abreu,6746.0,,,,,,,1,From Kick Off,Héctor Bellerín Moruno,3511.0,Right Back,2,Arsenal,1,['f6355ab3-b1f0-443f-ba45-b13c6ea970ff'],25,,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:25.499,Pass,
,,,,,,,,,,,,,,,0.955827,,,,,,,,,,,,,,,7cf74284-fc74-4ad3-a0af-15542c47f637,42,,,"[48.2, 67.1]",3754041,0,,,,,-1.1542603,,Right Foot,,,"[55.5, 50.6]",,Ground Pass,,18.042727,,,,Francis Joseph Coquelin,3437.0,,,,,,,1,From Kick Off,Gabriel Armando de Abreu,6746.0,Right Center Back,2,Arsenal,1,['eeee3215-132f-4438-a348-be970f20ef15'],30,,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:30.098,Pass,
,,,,,,,,,,,,,,,1.624053,,,,,,,,,,,,,,,3545b6c1-a063-4378-91bd-489c01125856,46,,,"[55.5, 50.6]",3754041,0,,,,,2.1235375,,Left Foot,,,"[46.0, 66.0]",,Ground Pass,,18.094475,,,,Gabriel Armando de Abreu,6746.0,,,,,,,1,From Kick Off,Francis Joseph Coquelin,3437.0,Left Defensive Midfield,2,Arsenal,1,"['21c1a191-bf30-4b13-9ea7-447967bb90b1', 'e4edaba9-4649-4807-a63a-8e5a95183fbf']",31,,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:31.094,Pass,True
